Winner,Welo,Belo,turncount,PawnAdv10,KnightAdv10,BishopAdv10,RookAdv10,QueenAdv10,PawnAdv20,KnightAdv20,BishopAdv20,RookAdv20,QueenAdv20,PawnAdv30,KnightAdv30,BishopAdv30,RookAdv30,QueenAdv30,PawnAdv,KnightAdv,BishopAdv,RookAdv,QueenAdv,nool
W,2851,0,67,1,0,0,0,0,2,-7,8,0,1,2,-7,9,0,1,14,-6,9,3,1,
W,2851,0,53,1,0,0,0,0,1,-1,0,0,0,-8,-4,4,0,0,-21,-8,26,-1,1,
W,2851,0,57,0,0,0,0,0,0,0,0,0,0,-1,4,-3,0,0,-20,27,-6,0,0,
W,2851,0,49,1,0,0,0,0,1,0,0,0,0,1,-2,0,0,0,-4,-2,1,0,0,
D,2851,2633,97,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,46,-3,-7,0,0,
D,2851,2748,52,-3,0,0,0,0,-6,-1,0,0,0,-18,-11,10,0,0,-72,-19,37,-5,0,
W,2851,2191,79,0,4,-3,0,0,0,14,-13,0,0,0,24,-22,0,0,4,73,-71,0,0,
W,2851,0,71,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,1,-1,1,2,0,
D,2851,2175,72,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,-40,41,0,1,
W,2851,2646,49,-1,0,0,0,0,-1,0,0,0,0,-3,0,0,0,0,14,-9,0,0,0,
D,2851,2725,68,-1,0,0,0,0,-1,4,-3,0,0,1,14,-13,0,0,17,30,-31,1,-1,
W,2851,2555,147,1,0,0,0,0,1,0,0,0,0,1,10,-8,0,0,-157,50,-141,92,-1,
W,2851,0,83,0,0,0,0,0,0,-1,0,0,0,8,-11,10,0,0,35,-22,66,18,16,
W,2851,0,61,0,0,0,0,0,1,0,0,0,0,5,-12,14,0,0,26,-57,58,0,0,
D,2851,2748,75,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,-1,0,1,
W,2851,0,53,0,0,0,0,0,-2,0,0,0,0,-12,-1,10,0,0,-40,10,34,8,0,
W,2851,0,51,1,0,0,0,0,1,-1,0,0,0,-4,-11,10,0,0,-11,8,12,0,0,
W,2851,0,73,-1,0,0,0,0,-1,0,0,0,0,-2,0,0,0,0,-2,0,2,0,0,
B,2851,2725,94,-1,0,0,0,0,3,0,0,0,-1,6,0,0,0,-1,20,-8,9,1,-1,
W,2851,2658,87,-1,0,0,0,0,-1,0,0,0,0,-6,0,0,0,0,-23,8,-3,-5,0,
B,2851,2650,117,0,0,0,0,0,0,0,0,0,0,0,8,-7,0,0,-21,94,-93,1,1,
W,2851,0,41,0,0,0,0,0,0,0,0,0,0,1,-7,10,0,0,6,-7,21,0,0,
W,2851,2769,73,-1,0,0,0,0,-2,-1,0,0,0,-12,-1,0,0,0,-54,-9,8,0,0,
D,2851,0,46,0,0,0,0,0,0,0,0,0,0,0,-5,4,0,0,-13,-28,28,0,0,
W,2851,0,43,0,0,0,0,0,-1,0,0,0,0,-6,-7,6,0,0,-19,-11,11,0,0,
W,2851,0,55,-3,0,0,0,0,-3,0,0,0,0,-3,0,0,0,0,-6,5,18,-8,1,
W,2851,0,71,1,0,0,0,0,1,-5,4,0,0,2,-16,13,0,0,13,-42,52,1,0,
W,2851,0,61,-1,0,0,0,0,-1,1,0,0,0,-1,1,0,0,0,55,-27,1,2,0,
D,2851,2659,38,0,0,0,0,0,0,-5,4,0,0,-8,-16,14,0,0,-15,-18,15,0,0,
W,2851,0,62,0,0,0,0,0,0,0,-1,0,0,-5,0,-1,0,0,-68,37,17,-29,0,
D,2851,0,57,0,0,0,0,0,-1,-1,0,0,0,-1,-1,0,0,0,4,-7,4,-1,-1,
W,2851,0,113,2,0,0,0,0,3,0,0,0,0,3,0,0,0,0,34,-5,22,0,0,
D,2851,2332,90,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,2,0,2,1,
W,2851,0,93,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-41,-48,76,8,-6,
W,2851,0,73,0,-1,0,0,0,1,-11,10,0,0,1,-21,20,0,0,15,-64,63,0,0,
D,2851,2656,110,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,
W,2851,2544,45,0,0,0,0,0,3,2,-1,0,0,13,12,-11,0,0,18,23,-26,0,0,
D,2851,2725,76,-1,0,0,0,0,1,0,0,0,0,2,1,0,0,0,3,-4,-2,6,-1,
W,2851,0,53,-7,0,0,0,0,-11,-3,2,0,0,-11,-13,12,0,0,-23,-37,44,0,0,
W,2851,0,86,0,4,-3,0,0,0,14,-13,0,0,0,24,-22,0,0,9,81,-78,-1,-1,
W,2851,2751,103,3,0,0,0,0,4,-1,0,0,0,4,-2,0,0,0,-43,-36,74,-3,-1,
W,2851,0,47,0,6,-5,0,0,0,16,-15,0,0,0,25,-25,0,0,2,42,-42,0,0,
W,2851,0,43,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,14,1,1,0,0,
W,2851,2748,90,-3,0,0,0,0,-4,0,0,0,0,-5,0,-1,0,0,25,-48,47,0,1,
W,2851,0,55,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-2,-24,24,0,0,
W,2851,0,51,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,4,0,0,0,0,
W,2851,2066,61,1,0,0,0,0,1,0,0,0,0,1,-7,8,0,0,11,-38,39,0,0,
D,2851,0,62,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,-2,-1,-1,0,0,
W,2851,0,61,0,0,0,0,0,0,0,0,0,0,1,-1,1,0,0,-1,14,18,-16,0,
W,2851,2637,51,3,0,0,0,0,3,0,0,0,0,3,-1,0,0,0,4,-1,-3,1,0,
W,2851,2751,69,-1,0,0,0,0,-2,1,0,0,0,-8,1,1,0,0,86,-2,-27,-1,0,
D,2851,2769,55,-1,0,0,0,0,-2,1,0,0,0,-12,1,1,0,0,-12,1,2,0,0,
W,2851,0,101,0,0,0,0,0,1,-5,4,0,0,4,-15,14,0,0,128,-44,40,0,7,
D,2851,2758,70,-1,0,0,0,0,-1,2,-1,0,0,-1,13,-11,0,0,-14,53,-39,0,0,
W,2851,0,61,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,-34,31,0,1,
